obiekt,cecha1,cecha2,cecha3,cecha4,cecha5,cecha6,cecha7,cecha8,cecha9,cecha10,cecha11,cecha12,cecha13,cecha14,cecha15,cecha16,cecha17,cecha18,cecha19,cecha20,cecha21,cecha22,cecha23,cecha24,cecha25,cecha26,cecha27,cecha28,cecha29,cecha30,cecha31,cecha32,cecha33
100,3,5,5,1,3,2,5,7,3,7,2,7,9,3,2,1,7,5,1,1,1,6,5,75,78,80,87,3,8,9,7,6,2
100,3,5,5,3,3,2,7,7,3,7,3,7,9,3,2,1,7,3,1,1,2,5,5,78,81,87,89,4,3,8,4,7,13
100,3,5,5,1,3,3,7,6,1,7,3,7,9,3,1,1,5,3,1,1,2,5,5,83,85,90,99,5,1,9,6,5,14
101,5,5,9,1,3,3,8,4,1,,,,,,,,,,,,,,,58,60,53,49,,,,,12,8
101,5,5,1,1,3,6,7,6,1,7,3,6,9,3,2,1,5,7,1,7,2,6,7,60,72,52,57,3,7,6,7,4,5
101,5,5,1,1,3,3,7,6,1,1,2,7,9,3,2,1,7,5,1,7,2,6,7,64,70,69,73,4,6,4,3,7,8
104,3,3,5,1,4,8,7,2,3,7,2,2,9,3,1,1,1,3,1,1,3,4,9,53,59,42,45,3,3,4,7,4,3
104,7,5,3,1,2,6,5,3,1,7,3,2,9,3,2,1,1,1,1,1,3,4,5,63,73,54,60,3,4,6,1,4,4
104,7,3,5,1,2,6,7,3,1,7,3,2,9,3,2,1,1,1,1,1,3,4,5,76,80,61,67,3,7,55,4,7,7
105,5,7,5,1,3,3,5,4,1,7,2,4,9,3,8,3,7,1,1,1,3,6,5,42,45,48,55,3,4,6,3,7,8
105,5,7,1,1,3,2,5,7,1,7,3,2,9,3,2,3,3,1,2,1,3,6,7,50,62,48,58,2,1,4,8,4,2
105,5,5,1,1,3,2,5,7,1,7,2,2,9,3,2,3,7,1,1,1,3,6,5,59,63,55,60,2,7,4,7,4,2
106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,5,5,1,1,4,2,5,4,1,7,3,2,9,3,3,1,1,1,1,2,3,2,5,65,71,55,57,2,2,4,8,6,8
106,5,5,3,1,4,3,5,4,1,7,2,4,9,3,2,3,1,1,2,1,3,2,5,70,78,67,72,2,8,5,3,6,2
107,5,5,3,1,3,2,5,6,5,7,2,7,9,3,1,3,3,7,2,1,3,4,7,83,93,120,120,3,7,5,4,8,7
107,7,7,1,1,3,2,5,6,1,7,2,2,9,5,2,1,3,5,2,1,3,4,9,105,104,138,128,2,5,6,3,4,3
107,7,5,1,1,3,2,7,6,3,7,2,2,9,5,2,1,3,5,2,1,3,4,7,107,115,142,137,3,2,6,9,4,5
10/2A,5,5,3,1,4,3,5,6,1,7,2,5,1,3,1,1,7,1,1,2,3,6,3,67,70,70,75,2,1,4,1,3,1
10/2A,3,5,1,1,3,3,7,5,1,7,2,4,9,1,2,1,3,1,1,1,3,5,1,78,82,77,78,1,7,3,5,3,5
10/2A,5,3,1,1,4,3,7,6,1,7,2,5,9,3,2,1,7,1,1,2,3,6,3,87,91,80,87,2,5,3,9,3,7
43/3A,5,5,3,1,4,3,5,6,1,7,2,7,9,3,1,1,7,5,1,5,3,6,5,65,67,78,82,3,4,6,4,4,7
43/3A,7,5,1,1,4,1,7,8,1,7,2,4,9,3,2,1,3,3,1,5,2,5,3,65,71,88,82,4,6,5,5,3,8
43/3A,7,3,1,1,4,3,7,8,1,7,2,4,9,3,2,1,3,3,1,1,3,6,3,74,78,89,97,4,2,6,5,5,4
90/2.05,5,5,7,1,3,6,1,6,1,,,,,,,,,,,,,,,41,73,58,67,,,,,11,7
90/2.05,5,5,1,1,2,3,7,3,3,7,2,4,9,5,2,1,3,5,1,1,3,5,7,83,78,89,83,3,6,6,5,8,7
90/2.05,5,3,1,1,3,3,7,6,1,7,2,4,9,3,2,1,5,5,2,1,3,6,7,92,95,97,100,3,6,7,1,4,8
