obiekt,cecha1,cecha2,cecha3,cecha4,cecha5,cecha6,cecha7,cecha8,cecha9,cecha10,cecha11,cecha12,cecha13,cecha14,cecha15,cecha16,cecha17,cecha18,cecha19,cecha20,cecha21,cecha22,cecha23,cecha24,cecha25,cecha26,cecha27,cecha28,cecha29,cecha30,cecha31,cecha32,cecha33
21,5,5,1,1,3,3,7,3,1,7,2,5,9,5,1,1,5,9,2,5,3,3,3,99,87,90,100,4,9,7,7,4,6
21,7,3,1,1,4,2,5,3,3,7,3,2,9,7,2,1,5,9,3,1,3,2,5,87,97,140,96,4,8,5,9,2,12
21,7,3,1,1,3,2,5,3,5,7,3,5,9,5,2,1,5,9,3,1,3,3,5,90,98,121,107,4,5,7,9,5,1
23,3,3,3,1,2,2,5,3,1,7,2,4,9,3,2,1,7,3,1,1,3,4,3,73,76,63,70,2,7,6,2,4,1
23,3,3,1,1,3,2,5,4,1,7,3,2,9,5,2,1,3,1,1,7,3,4,5,83,79,78,81,4,1,7,2,4,5
23,3,3,1,1,2,2,5,4,1,7,2,4,9,5,2,1,7,1,1,7,3,4,5,80,87,79,79,3,7,7,1,4,3
25,5,5,1,1,3,3,5,7,3,,,,,,,,,,,,,,,74,79,55,71,,,,,12,1
25,5,7,3,1,3,2,7,2,3,7,2,6,9,3,2,1,3,3,1,2,3,6,5,78,81,90,84,2,9,6,7,4,1
25,5,7,1,1,3,2,5,2,3,7,3,4,9,3,2,1,3,3,1,1,3,5,5,81,90,78,82,3,2,6,1,3,7
26,5,7,7,1,3,2,5,6,3,7,2,6,9,3,2,1,5,5,1,1,3,5,5,65,69,80,78,4,5,6,8,4,4
26,7,5,1,1,3,2,5,6,5,7,3,4,9,3,2,1,1,5,2,7,3,6,5,68,71,95,86,2,9,5,7,5,1
26,7,3,7,1,3,2,5,6,5,7,2,6,9,3,2,1,1,5,2,7,3,5,5,70,66,87,81,3,7,6,1,4,9
28,5,5,3,1,3,3,5,5,1,7,2,2,9,3,1,1,9,3,1,1,3,6,5,92,97,100,97,6,2,6,5,5,3
28,7,5,3,1,3,2,5,6,3,7,2,2,9,3,2,1,5,3,2,1,3,4,5,96,94,120,108,3,6,6,7,6,1
28,5,5,3,1,3,2,5,5,1,7,2,2,9,3,2,1,7,3,2,1,3,6,5,97,100,109,113,5,1,6,3,5,7
29,5,5,1,1,3,2,5,6,1,7,2,4,9,3,2,1,7,7,1,1,3,2,5,101,98,95,102,3,3,6,4,3,10
29,5,5,1,1,3,3,5,1,3,7,3,2,9,5,2,1,5,7,2,1,3,5,1,123,117,106,98,3,5,5,4,5,7
29,5,5,1,1,3,2,5,4,3,7,2,4,9,5,2,1,5,7,2,1,3,5,1,110,105,109,104,3,2,5,7,5,1
31,5,5,5,1,3,3,3,2,1,,,,,,,,,,,,,,,32,58,56,67,,,,,9,5
31,5,5,3,1,3,2,5,4,1,7,3,4,9,3,2,1,5,3,3,7,1,6,5,69,69,75,69,4,3,6,4,3,6
31,5,5,3,1,3,2,5,4,1,7,2,7,9,3,1,1,5,7,1,1,3,5,1,71,76,69,73,4,4,5,7,3,7
32,3,5,7,1,3,3,7,5,3,7,2,7,9,3,1,3,9,5,1,1,1,6,5,87,79,55,62,2,2,4,2,4,6
32,1,3,1,3,1,1,7,6,1,7,2,2,9,5,1,1,3,3,1,7,3,6,5,92,85,50,64,3,5,7,5,4,3
32,1,3,1,3,3,3,7,6,3,7,2,2,9,3,1,1,5,3,1,7,1,6,5,84,92,63,62,2,7,6,4,4,6
34,5,3,5,1,4,3,7,6,1,7,3,7,9,3,1,1,5,3,2,1,3,6,5,83,80,90,97,4,5,6,7,4,8
34,7,3,3,3,1,2,7,4,1,7,2,5,9,3,1,1,5,3,3,1,2,6,1,80,84,100,94,2,8,7,3,5,2
34,5,3,3,3,4,3,7,5,1,7,3,7,9,3,1,1,5,3,3,1,3,6,3,87,82,96,103,3,5,6,9,5,3
35,3,5,1,1,4,2,5,6,3,7,2,7,9,3,2,1,9,3,1,1,3,6,5,75,68,72,74,2,3,7,2,4,8
35,3,5,1,1,4,2,7,6,1,7,2,7,9,1,2,1,3,3,1,1,2,6,7,83,79,65,71,1,3,5,3,4,9
35,3,5,1,1,4,2,5,6,1,7,2,7,9,3,2,1,3,3,1,1,3,6,5,76,72,73,69,1,9,6,8,5,11
36,5,5,3,1,4,1,5,6,1,,,,,,,,,,,,,,,53,57,54,58,,,,,11,3
36,5,5,1,1,3,2,7,8,1,7,2,2,9,8,2,1,9,7,3,1,3,4,7,63,59,69,61,2,5,5,8,4,3
36,5,5,3,1,4,2,7,8,1,7,2,2,9,8,2,1,9,5,3,1,3,4,7,67,69,71,68,3,2,6,7,4,5
37,5,3,7,1,3,3,7,4,3,7,4,4,9,3,1,1,3,5,2,2,3,4,5,58,67,58,85,4,8,6,3,4,6
37,7,5,3,1,4,3,5,3,1,7,3,2,9,3,2,1,1,1,1,1,3,6,3,73,59,110,74,4,6,5,5,5,1
37,7,3,7,1,4,3,7,6,3,7,3,2,9,3,2,1,3,5,2,2,3,4,5,68,68,95,69,5,1,5,8,5,1
38,5,5,3,1,4,3,5,6,3,7,,,,,,,,,,,,,,82,89,76,87,,,,,12,4
38,7,5,1,1,4,2,1,7,5,7,2,2,9,3,2,1,3,7,2,1,2,6,1,88,74,90,72,4,3,5,9,3,2
38,7,5,1,1,4,3,5,7,3,7,2,4,9,3,2,1,3,7,2,1,2,5,3,87,72,86,79,4,5,6,7,4,5
39,7,5,1,1,3,3,5,7,1,7,2,4,9,3,1,1,7,7,1,2,3,5,7,70,87,100,98,3,8,7,4,8,8
39,5,5,1,1,3,2,7,9,1,9,2,4,9,3,2,1,1,7,1,1,3,4,5,86,76,108,106,3,4,6,6,5,3
39,7,5,1,1,3,3,5,9,1,9,2,4,9,3,2,1,7,7,1,2,3,4,7,82,83,101,110,3,5,6,8,5,8
40,5,5,1,1,3,3,5,8,1,7,2,4,9,3,2,1,5,5,1,1,1,4,5,58,67,58,64,3,8,8,8,4,6
40,7,5,3,1,3,2,5,8,1,7,3,4,9,5,1,1,3,9,1,1,2,6,5,66,59,60,63,2,5,6,6,5,2
40,7,5,3,1,3,2,5,8,1,7,3,4,9,5,2,1,5,9,1,1,2,4,5,65,71,62,69,3,5,7,6,6,7
42,5,3,7,1,3,2,7,7,1,7,2,7,9,3,1,1,5,7,2,2,3,6,5,84,98,83,98,3,3,5,4,4,5
42,7,5,1,1,3,2,5,6,3,7,2,7,9,5,2,1,3,5,2,1,3,6,5,90,85,126,101,3,4,6,6,5,7
42,7,5,1,1,3,2,5,6,3,7,2,7,9,5,2,1,5,7,2,2,3,6,5,91,100,112,96,3,5,6,4,9,7
45,5,3,1,1,3,3,5,3,1,5,2,7,9,7,2,1,3,7,2,1,3,6,3,70,75,70,71,3,7,7,6,5,12
45,5,3,1,1,3,2,7,3,1,7,2,6,9,7,2,1,7,7,3,1,2,4,7,60,68,60,69,3,3,7,2,5,1
45,5,3,1,1,3,2,7,3,1,7,2,7,9,7,2,1,7,7,3,1,3,6,7,75,70,69,72,3,6,7,5,4,7
44,3,5,3,3,3,3,7,5,1,7,2,5,9,3,2,1,3,5,2,1,3,2,3,100,97,55,85,3,8,8,7,5,1
44,5,3,1,3,3,2,7,3,3,7,3,6,9,3,1,1,3,9,2,1,3,2,5,85,93,130,100,3,8,9,3,6,1
44,3,5,1,3,3,3,7,3,3,7,3,5,9,3,1,1,3,9,2,1,3,2,3,98,84,87,94,3,9,8,5,5,7
46,5,5,,,3,3,5,5,1,5,2,5,9,3,1,1,3,3,2,5,3,2,3,40,49,55,59,2,8,6,5,4,5
46,5,3,1,1,3,3,7,5,1,9,3,2,9,3,2,1,1,3,1,2,1,3,5,50,53,54,58,2,1,4,7,6,2
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,5,5,5,1,3,3,5,6,1,7,2,6,9,3,1,1,3,5,2,1,2,4,9,93,97,120,114,4,6,1,4,1,10
47,5,5,1,1,3,2,5,5,1,7,3,6,9,3,1,1,5,5,2,1,3,5,9,113,102,120,127,4,4,6,2,5,8
47,5,5,1,1,3,3,5,6,1,7,3,6,9,3,1,1,5,5,2,1,3,5,9,120,113,112,110,4,3,6,2,4,7
50,5,5,7,1,3,3,5,6,1,7,,4,9,3,3,1,1,3,1,5,3,6,3,44,51,46,57,3,5,4,6,4,3
50,7,5,1,1,2,2,7,5,1,7,2,4,9,7,2,1,1,5,2,1,3,4,3,49,45,70,68,4,4,6,3,5,9
50,7,5,1,1,2,3,5,6,1,7,2,4,9,7,2,1,1,5,2,1,3,4,3,52,52,62,71,4,5,4,4,7,8
53,5,5,1,1,3,3,5,4,1,7,2,5,9,3,2,1,3,9,2,1,2,4,1,80,79,85,83,3,8,8,5,1,13
53,5,5,1,3,3,3,5,6,3,7,3,4,9,7,1,1,3,9,4,1,3,4,5,78,76,115,95,2,3,7,8,6,9
53,5,5,1,3,3,3,5,6,1,7,3,4,9,7,1,1,3,9,4,1,3,4,5,91,87,96,101,3,5,8,1,6,3
52,5,5,3,3,3,2,5,6,5,5,,7,9,3,2,3,3,9,2,2,3,1,3,75,78,85,97,3,2,7,7,4,1
52,5,5,1,1,3,2,5,6,1,7,2,4,9,3,2,1,1,9,3,1,3,4,7,82,84,119,100,3,2,7,3,5,8
52,5,5,1,3,3,2,5,6,1,7,2,4,9,3,2,3,3,9,2,2,3,4,3,81,94,94,89,3,4,7,6,4,7
55,5,3,3,1,4,3,5,5,1,7,2,7,9,5,1,3,5,9,2,1,3,5,3,97,97,105,108,4,3,7,1,5,12
55,5,5,3,3,4,2,5,4,1,7,3,4,9,5,2,1,3,9,2,1,3,6,5,88,94,100,111,3,1,6,7,7,8
55,5,3,3,3,4,3,5,5,1,7,3,4,9,5,2,3,3,9,2,1,3,5,5,90,97,107,107,3,8,7,6,2,12
56,5,5,5,1,3,3,5,7,1,7,2,7,9,5,2,1,5,7,3,1,2,5,3,57,62,65,72,4,5,7,2,5,2
56,7,3,1,1,3,3,7,8,1,7,2,4,9,3,2,1,3,5,2,1,3,2,9,60,67,87,76,2,8,8,5,5,6
56,7,3,1,1,3,3,7,7,1,7,2,4,9,3,2,1,5,7,2,1,3,5,9,62,66,79,82,3,5,8,1,5,3
57,5,5,1,1,3,2,5,5,1,7,2,5,9,3,2,1,9,3,1,1,3,6,1,82,87,80,84,2,5,5,5,4,9
57,5,5,1,1,2,2,5,4,1,7,4,3,9,1,2,1,9,1,1,5,3,5,5,80,82,97,94,2,2,4,7,5,3
57,5,3,1,1,2,2,5,5,1,7,4,3,9,1,2,3,9,1,1,1,3,5,5,82,87,98,87,1,3,5,1,4,7
58,5,3,1,1,4,6,5,6,5,7,,6,1,3,8,3,3,3,1,2,3,5,5,60,62,64,72,4,8,4,4,4,5
58,5,5,3,1,3,1,5,6,1,7,3,4,9,3,3,3,1,3,1,2,3,4,3,65,68,84,81,4,9,5,1,4,8
58,5,5,3,1,3,6,5,6,5,7,3,4,9,3,3,3,1,3,1,2,3,4,5,67,71,87,89,5,2,4,8,5,3
59,5,5,7,1,3,3,5,6,3,7,2,7,9,3,2,1,5,9,2,1,3,6,3,75,81,75,81,3,5,8,8,5,2
59,7,5,1,1,4,2,5,8,1,7,2,6,9,3,1,1,3,9,3,2,3,4,7,85,89,114,98,4,2,8,7,6,3
59,5,5,1,1,4,3,5,6,1,7,2,6,9,3,1,1,3,9,3,1,3,4,3,96,100,108,112,3,9,8,4,5,7
60,5,5,7,5,3,3,5,4,3,7,3,7,9,4,2,1,9,3,1,2,3,6,5,65,78,110,117,3,5,7,4,5,8
60,7,5,1,5,3,2,7,4,1,7,4,5,9,3,1,1,7,3,1,2,3,6,3,85,87,120,123,4,4,7,7,5,1
60,7,5,1,5,3,2,5,4,1,7,4,7,9,3,2,2,9,3,1,2,3,6,5,81,86,117,121,3,7,7,1,5,2
64,1,5,3,3,3,3,5,6,3,7,2,7,9,3,2,1,5,5,1,1,3,6,3,83,87,36,42,4,4,6,4,4,9
64,1,5,1,1,3,2,5,7,1,7,3,5,9,3,2,1,5,3,1,1,3,6,5,106,95,56,59,3,9,5,6,6,10
64,1,5,1,3,3,2,5,7,1,7,3,5,9,3,2,1,5,3,1,1,3,6,3,98,105,61,67,4,2,6,2,5,7
65,3,3,7,1,2,3,5,4,1,7,3,6,9,3,2,1,3,7,1,1,3,5,7,78,87,65,75,3,4,6,2,5,1
65,7,5,1,1,3,2,5,6,1,7,2,6,9,3,2,1,1,5,2,7,3,4,5,92,92,96,83,4,1,6,4,5,7
65,7,5,1,1,3,3,5,4,1,7,2,6,9,3,2,1,1,7,2,7,3,4,5,97,94,93,96,3,8,6,3,5,9
67,5,5,9,1,2,3,7,4,1,7,2,6,9,3,1,1,3,3,1,5,3,6,5,60,67,80,91,3,9,7,8,6,7
67,3,5,1,1,4,3,1,7,1,7,2,4,9,5,2,3,1,5,1,1,3,4,7,78,76,102,94,4,1,7,2,6,7
67,3,3,7,1,4,3,1,4,1,7,2,4,9,3,2,3,1,3,1,1,4,6,5,8,1,7,4,95,101,4,5,7,2
70,5,5,5,1,2,3,7,6,3,7,2,6,9,3,2,1,7,5,1,2,2,6,5,60,65,56,67,3,1,6,6,4,9
70,5,5,3,1,2,2,5,6,1,7,2,4,9,5,2,1,7,3,2,1,2,6,7,70,73,74,75,2,5,7,5,1,9
70,5,5,9,1,2,3,5,6,1,7,2,5,1,1,2,1,7,5,2,1,2,6,7,71,78,82,83,2,8,7,1,5,3
72,3,3,5,1,3,2,5,4,1,7,2,5,9,3,1,1,3,5,1,1,3,4,3,100,105,100,98,3,1,6,2,5,1
72,3,5,1,1,4,2,7,4,3,7,2,6,9,3,2,1,1,5,2,2,3,4,3,111,109,106,104,3,5,2,7,7,9
72,3,5,1,1,4,2,7,4,1,7,2,6,9,3,2,1,3,5,2,2,3,4,3,109,112,112,110,3,4,5,8,6,5
73,5,7,1,1,3,2,7,4,3,7,2,2,9,5,1,1,3,3,1,1,3,4,7,70,87,80,96,3,3,7,6,5,2
73,5,7,3,3,4,2,7,2,1,7,2,2,9,7,2,1,1,3,2,1,3,5,7,78,76,118,100,3,5,6,1,7,7
73,5,3,3,3,3,2,7,4,3,7,2,2,9,7,2,1,1,3,2,1,3,4,7,83,98,107,105,3,7,6,9,6,4
74,3,3,1,3,3,2,7,4,1,7,2,5,9,3,1,1,3,7,1,1,3,6,5,60,65,47,56,2,6,4,9,4,2
74,5,7,1,1,4,3,5,5,1,7,2,2,9,5,2,1,3,5,2,1,3,6,7,73,72,77,69,3,1,6,4,4,6
74,5,7,1,3,4,3,5,5,1,7,2,2,9,3,2,1,3,5,2,1,3,6,5,75,79,72,78,3,6,5,8,5,3
75,5,3,5,1,3,2,5,5,3,7,2,5,9,3,2,3,1,5,1,1,3,5,1,57,64,58,64,2,5,5,8,6,4
75,1,3,1,1,2,2,5,6,1,7,3,7,9,3,2,1,5,5,1,6,3,6,3,62,69,45,59,2,6,6,6,4,9
75,5,5,1,1,2,2,5,6,1,7,3,7,9,3,2,3,1,5,1,6,3,6,1,75,79,78,83,3,9,7,6,6,9
79,3,5,3,1,4,3,5,6,1,7,2,7,9,3,1,1,5,3,1,1,3,1,1,76,81,56,76,3,4,3,5,3,9
79,1,7,1,1,3,1,5,8,3,7,3,4,9,3,2,1,3,5,2,1,3,6,3,86,83,92,85,5,7,5,5,1,10
79,3,5,1,1,3,3,5,8,1,7,3,4,9,3,2,1,3,5,1,1,3,6,1,91,95,92,100,4,3,5,4,4,6
81,5,5,3,1,3,3,5,5,1,,,,,,,,,,,,,,,71,69,78,87,,,,,15,3
81,5,5,1,1,3,2,5,5,1,7,2,4,9,5,2,1,3,3,1,1,3,4,5,75,73,95,83,3,6,6,7,6,9
81,5,5,1,1,3,2,5,5,1,7,3,4,9,3,2,1,3,5,2,1,3,5,5,76,81,98,94,5,3,5,7,8,10
82,5,5,5,1,3,3,5,5,1,7,2,4,9,7,2,1,3,7,1,1,3,4,7,78,80,76,80,3,9,7,5,4,11
82,5,5,3,1,3,2,5,3,1,7,2,4,9,7,2,1,3,5,2,1,3,5,5,80,87,78,78,4,1,7,6,4,5
82,5,7,3,1,3,2,7,5,1,7,2,4,9,7,2,1,3,5,2,1,3,4,7,82,89,84,90,4,2,6,7,5,1
84,5,5,1,1,3,2,5,3,1,7,2,7,9,7,1,1,3,3,1,1,3,4,5,75,80,90,89,3,9,6,5,4,9
84,5,7,1,3,3,2,5,3,3,7,3,2,9,5,2,1,3,3,2,1,3,4,5,82,87,113,105,3,5,6,2,5,6
84,5,3,1,3,3,2,5,3,3,7,3,2,9,7,2,1,3,5,2,1,3,4,5,96,84,110,100,4,1,6,7,5,9
